Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-08-07 22:10:47,70
Los Angeles CA,34.052235,-118.243683,2023-08-07 22:10:47,70
Miami FL,25.77427,-80.19366,2023-08-07 22:10:47,70
New York NY,40.73061,-73.935242,2023-08-07 22:10:47,77
ELY MN,47.903237,-91.867087,2023-08-07 22:11:47,73
Death Valley CA,36.5323,-116.93,2023-08-07 22:11:47,74
Maryville MO,40.346102,-94.872471,2023-08-07 22:11:47,76
Los Angeles CA,34.052235,-118.243683,2023-08-07 22:11:47,69
Miami FL,25.77427,-80.19366,2023-08-07 22:11:47,73
New York NY,40.73061,-73.935242,2023-08-07 22:11:47,69
